,highly_variable
NRDC,False
AL050343.2,False
AL050343.3,False
RAB3B,False
TXNDC12,False
KTI12,False
AL445685.1,False
TXNDC12-AS1,False
BTF3L4,False
ZFYVE9,True
CC2D1B,False
AL513218.1,False
AL513218.2,False
ORC1,False
PRPF38A,False
TUT4,False
AL591167.1,False
GPX7,False
SHISAL2A,True
COA7,False
ZYG11B,False
ZYG11A,True
AC099677.4,False
ECHDC2,False
SCP2,False
PODN,False
AL445183.1,False
SLC1A7,False
AL445183.2,False
CPT2,False
AL606760.2,False
CZIB,False
AL606760.3,False
MAGOH,False
AL606760.1,False
LRP8,False
AL355483.3,False
AL355483.1,False
AL355483.2,False
LINC01771,False
AC119428.2,False
AC119428.1,False
LINC02812,False
DMRTB1,False
GLIS1,False
NDC1,False
YIPF1,False
DIO1,False
HSPB11,False
LRRC42,False
LDLRAD1,False
TMEM59,False
TCEANC2,False
CDCP2,False
AL357673.2,False
CYB5RL,False
MRPL37,False
SSBP3,False
SSBP3-AS1,False
AL161644.1,False
AL035415.1,False
AC099796.2,False
LINC02784,False
ACOT11,True
FAM151A,False
AL590093.1,False
MROH7,False
TTC4,False
PARS2,False
TTC22,False
AC096536.1,False
LEXM,True
DHCR24,False
AC096536.3,False
AC096536.2,False
DHCR24-DT,False
AL590440.2,False
TMEM61,False
AL590440.1,False
BSND,False
PCSK9,False
USP24,False
MIR4422HG,False
AL603840.1,False
LINC01755,False
LINC01753,False
AL353681.1,False
AC119674.1,False
LINC01767,False
PLPP3,False
PRKAA2,False
FYB2,False
AL360295.1,False
C8A,False
C8B,False
AL161740.1,False
DAB1,False
AL390243.1,False
DAB1-AS1,False
AL445193.2,False
OMA1,False
AL035411.3,False
TACSTD2,False
MYSM1,False
AL136985.3,False
JUN,False
LINC01135,False
AL136985.2,False
AL136985.1,False
LINC02777,False
LINC01358,False
AL592431.2,False
AL592431.1,False
AC093425.1,False
AC093424.1,False
FGGY,False
AL035416.1,False
HOOK1,False
CYP2J2,False
C1orf87,False
LINC02778,False
LINC01748,False
AC099792.1,False
NFIA,True
NFIA-AS2,False
NFIA-AS1,False
AC099791.3,False
AC099791.4,False
TM2D1,False
AC099791.2,False
PATJ,True
L1TD1,False
KANK4,False
USP1,False
DOCK7,False
ANGPTL3,False
AC103923.1,False
ATG4C,False
AC099794.1,False
LINC01739,False
AL162400.3,False
AL162400.1,False
AL162400.2,False
AC096543.1,False
LINC00466,False
AC096543.2,False
FOXD3-AS1,False
FOXD3,False
ALG6,False
ITGB3BP,False
BX004807.1,True
EFCAB7,False
DLEU2L,False
PGM1,False
ROR1,True
ROR1-AS1,False
AL445205.1,False
UBE2U,False
CACHD1,True
RAVER2,False
JAK1,False
LINC01359,False
AL357078.2,False
AK4,False
DNAJC6,False
AL139294.1,False
LEPROT,False
LEPR,False
AC119800.1,False
AL513493.1,False
PDE4B,True
AL590783.1,False
SGIP1,True
AL139147.1,False
TCTEX1D1,False
INSL5,False
WDR78,True
AL592161.1,False
MIER1,False
SLC35D1,True
C1orf141,False
AL133320.2,False
IL23R,False
IL12RB2,True
SERBP1,False
LINC01702,False
GADD45A,False
GNG12,False
GNG12-AS1,False
DIRAS3,False
WLS,False
RPE65,False
DEPDC1,False
AL138789.1,False
DEPDC1-AS1,False
AL035412.1,False
AL033530.1,False
AL691520.1,False
LINC01707,False
LINC02791,False
LINC01758,False
AL359894.1,False
LRRC7,True
AL117353.1,False
AL158840.1,False
LRRC40,False
SRSF11,False
AL353771.1,False
ANKRD13C,False
HHLA3,False
AL158839.1,False
CTH,False
AL354872.2,False
LINC01788,False
AL513285.1,False
PTGER3,False
AL031429.1,False
AL031429.2,False
ZRANB2-AS1,False
ZRANB2,False
ZRANB2-AS2,False
NEGR1,True
AL354949.1,False
NEGR1-IT1,False
AL513166.1,False
AL583808.1,False
LINC02796,False
LINC02797,False
LINC01360,False
LINC02238,False
AL591463.1,False
LRRIQ3,True
FPGT,False
TNNI3K,False
AC093158.1,False
AC105271.1,False
LRRC53,False
ERICH3,False
ERICH3-AS1,False
AC135803.1,False
CRYZ,False
TYW3,False
AC133865.1,False
AC099786.3,False
AC099786.1,False
LHX8,False
AC099786.2,False
SLC44A5,True
ACADM,False
RABGGTB,False
MSH4,False
ASB17,False
AC092813.1,False
AC092813.2,False
ST6GALNAC3,True
AC104458.1,False
LINC02567,False
ST6GALNAC5,True
AL035409.1,False
PIGK,False
AC093433.2,False
AK5,True
AC095030.1,False
AC093575.1,False
AC118549.1,False
USP33,False
MIGA1,False
NEXN-AS1,False
NEXN,False
FUBP1,False
DNAJB4,False
GIPC2,False
AC103591.3,True
AC103591.4,False
AC096531.2,False
PTGFR,False
IFI44L,False
IFI44,False
ADGRL4,False
AL353651.2,False
AL353651.1,False
LINC02792,False
AC099671.1,False
AC098657.2,False
